"country","gdp","support","life_expectancy","freedom","generosity","corruption","residual","sum","year"
"Afghanistan",0.30070585,0.356433839,0.266051531,0,0.135234714,0.001225785,1.507235646,2.566887365,2020
"Albania",0.906653047,0.830483913,0.846329629,0.461945891,0.171027765,0.025361285,1.640897036,4.882698566,2020
"Algeria",0.943856001,1.143003583,0.745418549,0.083943799,0.118915014,0.129190654,1.840811729,5.005139329,2020
"Argentina",1.028465629,1.372543693,0.849773705,0.520840347,0.070100471,0.060415059,2.072540998,5.974679902,2020
"Armenia",0.808262408,1.034576893,0.77585727,0.378075808,0.107225738,0.104618184,1.468161583,4.676777884,2020
"Australia",1.310396433,1.477146268,1.022607684,0.621877193,0.324973613,0.335996419,2.129804134,7.222801744,2020
"Austria",1.317285538,1.437444925,1.000933528,0.603368878,0.255509764,0.281256139,2.398446083,7.294244855,2020
"Azerbaijan",0.990272701,1.180613041,0.731134057,0.467734724,0.040113214,0.247307181,1.507632971,5.164807889,2020
"Bahrain",1.296692252,1.31532371,0.838836372,0.610399902,0.287453711,0.126697257,1.751917362,6.227320566,2020
"Bangladesh",0.556156278,0.868800581,0.694940507,0.604130566,0.176745117,0.176735908,1.755261898,4.832770855,2020
"Belarus",1.018854499,1.38713932,0.75258857,0.290755868,0.08993306,0.193607435,1.8069911,5.539869852,2020
"Belgium",1.295842767,1.398677588,0.964901149,0.499805421,0.146966159,0.208724052,2.348626614,6.86354375,2020
"Benin",0.366244704,0.352428436,0.328062952,0.40583989,0.196670428,0.125931874,3.440809727,5.215988011,2020
"Bolivia",0.730976343,1.142350554,0.662445664,0.5744645,0.138375074,0.072942637,2.425928593,5.747483365,2020
"Bosnia and Herzegovina",0.91839546,1.203986526,0.813928187,0.305365741,0.264005244,0.001172487,2.16724205,5.674095695,2020
"Botswana",0.997548997,1.08569479,0.494101733,0.50908941,0.033407487,0.101786368,0.257240534,3.478869319,2020
"Brazil",0.952679873,1.363464117,0.766119063,0.483292729,0.131674588,0.106518604,2.571860313,6.375609287,2020
"Bulgaria",1.046554685,1.460578918,0.777776897,0.417820066,0.103833713,0,1.294961452,5.101525731,2020
"Burkina Faso",0.302467644,0.9293859,0.312833875,0.322398156,0.186390609,0.126408055,2.588826418,4.768710657,2020
"Burundi",0,0.403575271,0.295212835,0.275399059,0.187401786,0.212186828,2.401507378,3.775283157,2020
"Cambodia",0.544634938,1.071426034,0.587904334,0.674940348,0.233342081,0.072837502,1.663300037,4.848385274,2020
"Cameroon",0.503958046,0.89972645,0.270189553,0.439242482,0.198020101,0.054393422,2.719370842,5.084900896,2020
"Canada",1.301647663,1.435391903,1.022501945,0.644028127,0.28152892,0.351701856,2.195269108,7.232069522,2020
"Central African Republic",0.041072082,0,0,0.292814463,0.253513217,0.028264718,2.860197544,3.475862024,2020
