"year","month","day","mode","route","peak","numerator","denominator","mean"
2023,1,1,"Rail","Blue","OFF_PEAK",33536.796263028,33747.309638293,0.99376206940579
2023,1,1,"Rail","Green-B","OFF_PEAK",9254.309805377,10982.918334461,0.842609361515494
2023,1,1,"Rail","Green-C","OFF_PEAK",10169.693702619,12623.909571038,0.805589872566142
2023,1,1,"Rail","Green-D","OFF_PEAK",14639.707955353,18568.055979658,0.788435147513092
2023,1,1,"Rail","Green-E","OFF_PEAK",12279.609363254,16095.224992048,0.762934930659302
2023,1,1,"Rail","Orange","OFF_PEAK",45674.325056302,46679.887023219,0.978458346173442
2023,1,1,"Rail","Red","OFF_PEAK",59984.367438276,66606.054484288,0.900584307278342
2023,1,2,"Rail","Blue","OFF_PEAK",39577.212083209,39900.559015028,0.991896180409472
2023,1,2,"Rail","Blue","PEAK",28129.756328128,28725.695502142,0.97925414289901
2023,1,2,"Rail","Green-B","OFF_PEAK",9864.250670899,11913.997183383,0.8279547593529
2023,1,2,"Rail","Green-B","PEAK",6374.940457048,7690.168198882,0.828972825064449
2023,1,2,"Rail","Green-C","OFF_PEAK",11586.231248636,13839.073093379,0.837211507624682
2023,1,2,"Rail","Green-C","PEAK",8616.996788781,10432.929306836,0.825942219615622
2023,1,2,"Rail","Green-D","OFF_PEAK",18633.91859694,23369.879095345,0.797347667949709
2023,1,2,"Rail","Green-D","PEAK",13951.323250876,17392.588239278,0.802141869797703
2023,1,2,"Rail","Green-E","OFF_PEAK",16543.388533987,20834.725106517,0.794029604394075
2023,1,2,"Rail","Green-E","PEAK",11934.976783479,14872.1212398,0.802506689599815
2023,1,2,"Rail","Orange","OFF_PEAK",83428.194059389,86044.415562029,0.969594522950139
2023,1,2,"Rail","Orange","PEAK",70648.340633712,72187.740640638,0.978675049346822
2023,1,2,"Rail","Red","OFF_PEAK",107093.64614175,117639.727998644,0.910352718113939
2023,1,2,"Rail","Red","PEAK",100043.616838886,112481.907278479,0.889419634316844
