"age","gender","country","E1","E2","E3","N1","N2","N3","A1","A2","A3","C1","C2","C3","O1","O2","O3","Extroversion","Neuroticism","Agreeableness","Conscientiousness","openness"
53,"Female","US",4,5,5,1,2,1,5,5,5,4,5,4,3,4,5,0.93,0.27,1,0.87,0.8
46,"Unanswered","US",2,3,3,2,4,4,3,4,3,4,3,4,3,3,2,0.53,0.67,0.67,0.73,0.53
14,"Unanswered","PK",5,1,5,5,5,5,1,5,5,4,5,5,5,5,5,0.73,1,0.73,0.93,1
19,"Unanswered","RO",2,2,3,5,4,5,5,4,3,3,4,2,5,5,5,0.47,0.93,0.8,0.6,1
25,"Unanswered","US",3,3,3,3,3,3,5,5,5,3,5,3,1,3,3,0.6,0.6,1,0.73,0.47
31,"Unanswered","US",1,2,1,1,4,4,2,4,3,2,4,5,1,5,3,0.27,0.6,0.6,0.73,0.6
20,"Unanswered","US",5,5,5,2,2,2,5,5,5,2,3,3,5,4,4,1,0.4,1,0.53,0.87
23,"Female","IN",4,5,5,1,4,1,5,4,5,4,5,3,5,5,5,0.93,0.4,0.93,0.8,1
39,"Unanswered","US",3,5,5,2,5,5,5,5,4,4,5,4,5,5,5,0.87,0.8,0.93,0.87,1
18,"Unanswered","US",1,2,2,5,5,4,3,4,2,5,4,4,5,4,4,0.33,0.93,0.6,0.87,0.87
17,"Unanswered","IT",1,2,1,5,5,5,4,4,3,3,3,3,5,3,5,0.27,1,0.73,0.6,0.87
15,"Female","IN",3,5,3,1,3,3,4,2,4,3,4,3,4,4,5,0.73,0.47,0.67,0.67,0.87
22,"Unanswered","US",3,4,4,3,3,2,4,5,4,4,4,5,4,3,4,0.73,0.53,0.87,0.87,0.73
21,"Unanswered","US",1,2,1,5,5,5,1,4,2,5,5,4,3,4,4,0.27,1,0.47,0.93,0.73
28,"Unanswered","US",3,3,3,2,4,4,4,4,4,4,4,4,4,4,4,0.6,0.67,0.8,0.8,0.8
21,"Female","US",2,2,3,2,2,2,2,2,2,4,4,4,5,4,5,0.47,0.4,0.4,0.8,0.93
19,"Unanswered","FR",1,2,2,4,3,3,2,1,1,4,5,3,4,5,4,0.33,0.67,0.27,0.8,0.87
21,"Unanswered","US",4,5,5,5,5,3,5,5,3,3,3,4,3,5,3,0.93,0.87,0.87,0.67,0.73
26,"Unanswered","GB",2,4,1,4,5,4,2,2,3,4,5,5,4,5,2,0.47,0.87,0.47,0.93,0.73
26,"Unanswered","US",2,3,3,4,3,2,3,4,4,1,5,2,5,5,4,0.53,0.6,0.73,0.53,0.93
19,"Unanswered","LT",1,2,3,4,4,4,5,5,3,2,4,1,5,4,4,0.4,0.8,0.87,0.47,0.87
29,"Unanswered","US",2,4,4,1,2,1,4,3,3,4,5,3,4,5,4,0.67,0.27,0.67,0.8,0.87
29,"Unanswered","US",2,1,2,3,5,3,4,4,3,4,4,4,5,3,3,0.33,0.73,0.73,0.8,0.73
21,"Female","CA",3,4,4,3,3,2,4,4,3,3,5,4,4,5,3,0.73,0.53,0.73,0.8,0.8
52,"Unanswered","US",3,4,2,4,4,2,4,5,4,3,4,2,4,4,4,0.6,0.67,0.87,0.6,0.8
19,"Unanswered","GR",1,2,2,5,4,3,4,5,4,4,5,2,5,5,5,0.33,0.8,0.87,0.73,1
48,"Female","US",5,4,5,3,4,3,5,4,5,2,2,5,5,4,5,0.93,0.67,0.93,0.6,0.93
22,"Female","US",3,4,2,4,4,2,2,3,3,3,3,3,4,3,3,0.6,0.67,0.53,0.6,0.67
17,"Unanswered","US",2,3,2,5,5,4,5,4,3,2,3,3,3,3,5,0.47,0.93,0.8,0.53,0.73
37,"Female","DK",3,3,2,1,4,3,4,4,4,4,4,2,4,4,3,0.53,0.53,0.8,0.67,0.73
19,"Unanswered","US",4,1,4,4,5,4,5,5,4,1,3,1,5,3,5,0.6,0.87,0.93,0.33,0.87
22,"Unanswered","US",2,3,3,5,5,2,3,4,5,3,5,3,5,5,5,0.53,0.8,0.8,0.73,1
25,"Female","US",4,4,4,2,4,2,4,4,4,4,4,4,2,4,4,0.8,0.53,0.8,0.8,0.67
20,"Unanswered","US",5,4,5,4,4,4,5,4,4,2,1,1,4,4,4,0.93,0.8,0.87,0.27,0.8
15,"Unanswered","GB",1,3,3,3,4,3,3,3,3,2,3,2,4,3,3,0.47,0.67,0.6,0.47,0.67
46,"Unanswered","US",1,3,3,4,5,5,3,5,3,5,5,4,4,5,3,0.47,0.93,0.73,0.93,0.8
15,"Female","GB",1,2,2,1,4,2,5,5,1,5,5,2,5,5,5,0.33,0.47,0.73,0.8,1
18,"Unanswered","US",2,3,4,2,3,2,4,4,5,4,4,4,5,4,5,0.6,0.47,0.87,0.8,0.93
42,"Female","US",2,2,2,3,3,2,3,3,2,3,3,2,3,4,4,0.4,0.53,0.53,0.53,0.73
27,"Unanswered","US",1,2,2,3,5,2,4,4,3,4,5,4,4,4,4,0.33,0.67,0.73,0.87,0.8
17,"Female","US",5,1,5,1,1,1,1,1,5,5,5,1,5,5,5,0.73,0.2,0.47,0.73,1
